LON,LAT,RANGE,AZIMUTH,PROB,MAXSIZE
-88.44409,35.69143,84,169,50,0.5
-88.5455,35.56037,91,173,70,0.5
-89.23934,35.82225,78,197,70,0.5
-89.04709,35.65009,86,189,100,0.75
-88.73434,35.29908,106,179,100,0.75
-101.35964,35.60286,139,303,-999,-999
-100.74474,36.54768,157,327,-999,-999
-99.91948,36.56829,140,341,-999,-999
-100.67047,35.73148,117,315,90,0.5
-100.8565,35.63536,120,310,100,0.5
-102.22609,42.00338,130,168,-999,-999
-79.34894,30.90328,136,140,-999,-999
-86.39702,36.071,14,67,30,0.5
-101.27958,29.10924,174,259,-999,-999
-101.27595,29.11566,141,197,-999,-999
-101.75995,28.97194,158,205,-999,-999
-101.36655,29.00022,149,198,-999,-999
-100.83406,35.63161,128,22,-999,-999
-102.0948,41.48055,128,352,-999,-999
-101.23379,39.82607,35,38,60,0.5
-101.56812,39.45269,8,50,70,0.5
-101.35583,40.3492,61,15,70,0.5
-101.53607,39.23491,11,136,80,0.75
-101.60028,39.07696,18,165,100,1
-102.01961,28.90837,94,257,30,0.5
-100.8793,29.37366,32,281,40,0.5
-101.67431,29.09366,74,262,100,0.75
-102.07947,28.34184,110,240,100,2
-101.30726,29.09372,55,259,100,2
-101.7613,28.96412,80,257,100,2.75
-84.93823,30.60587,51,87,70,0.5
-89.33169,32.12913,144,245,-999,-999
-101.70934,39.36305,134,100,-999,-999
-101.63977,39.05678,142,107,-999,-999
-101.5574,39.2107,143,103,-999,-999
-84.93311,30.60357,58,152,30,0.5
-88.5181,35.57174,92,221,20,0.5
-88.47117,35.69356,85,223,40,0.5
-86.383,36.0507,60,133,40,0.5
-89.23942,35.8389,109,241,70,0.5
-89.03261,35.64933,107,233,100,0.5
-88.73781,35.30881,111,220,80,0.75
-101.07133,39.7888,132,190,-999,-999
-101.64224,39.05027,181,196,-999,-999
-101.523,39.70149,142,198,-999,-999
-101.19957,39.68855,139,192,-999,-999
-101.51333,39.23092,169,195,-999,-999
-102.02871,41.6975,67,257,40,0.5
-102.04263,41.85272,66,265,50,0.5
-102.08818,41.51182,73,249,50,0.5
