LON,LAT,RANGE,AZIMUTH,PROB,MAXSIZE
-80.47578,29.48398,156,122,-999,-999
-81.36495,29.80386,107,127,20,0.5
-84.87198,30.6204,98,261,30,0.5
-80.94069,26.58685,126,19,-999,-999
-80.58158,22.12947,160,157,-999,-999
-80.92386,26.66609,35,268,60,0.5
-89.1905,35.93036,129,341,-999,-999
-89.82978,32.19397,127,217,-999,-999
-88.65387,35.78124,114,352,10,0.5
-89.87809,32.37482,120,221,30,0.5
-88.7773,35.17996,80,344,30,0.5
-88.36792,35.71641,109,359,50,0.5
-88.51426,35.62646,104,355,80,0.5
-88.96046,35.69276,112,344,80,0.5
-89.63637,32.24252,119,214,90,0.5
-89.31014,32.18201,114,206,100,1
-88.74752,35.27313,85,346,100,1
-88.68287,35.38774,91,349,100,1
-96.35978,24.75958,90,140,10,0.5
-96.22586,24.8964,89,133,10,0.5
-101.51071,39.28777,144,101,-999,-999
-101.45382,39.18919,148,103,-999,-999
-100.8027,35.6933,132,22,-999,-999
-101.26721,35.58864,119,13,100,0.5
-86.35484,36.0753,16,69,30,0.5
-101.95526,41.56007,132,355,-999,-999
-101.54526,39.67831,20,21,30,0.5
-101.32145,40.44576,67,15,60,0.5
-101.46363,39.53738,15,47,90,0.5
-101.47803,39.30404,11,110,80,0.75
-101.49147,39.19884,14,136,100,1.75
-89.30003,32.18838,141,246,-999,-999
-103.16882,29.10884,152,267,-999,-999
-101.99353,28.8861,93,256,10,0.5
-101.85786,29.04414,84,261,30,0.5
-101.68745,28.97995,76,257,100,1.75
-101.9936,28.31454,107,238,100,2.5
-101.27652,29.05103,54,256,100,3
-101.70453,28.96865,157,204,-999,-999
-101.30308,29.03554,146,197,-999,-999
-104.391,30.87107,130,241,-999,-999
-101.30419,29.03449,180,165,-999,-999
-101.71357,28.96346,180,172,-999,-999
-104.02202,29.7264,163,216,-999,-999
-103.84828,29.78517,155,214,-999,-999
-101.23004,35.58304,133,304,-999,-999
-99.83608,36.62605,142,343,-999,-999
-100.34663,36.62023,151,334,-999,-999
-100.61193,36.63567,158,330,-999,-999
-100.78832,35.72632,121,313,100,0.5
-101.48101,39.19371,134,70,-999,-999
-101.51209,39.30986,135,67,-999,-999
-102.14802,42.0847,126,166,-999,-999
-79.21499,30.89131,141,138,-999,-999
-80.92927,26.7025,71,337,10,0.5
-87.42485,35.80934,56,187,40,0.5
-88.3945,35.7272,81,222,50,0.5
-88.46525,35.62268,88,221,70,0.5
-88.92936,35.67748,102,232,70,0.5
-88.66063,35.38648,105,220,100,0.75
-88.7635,35.2829,113,220,100,1
-89.16891,35.9416,103,243,100,1.25
-101.91612,41.57706,133,78,-999,-999
-102.1499,42.08661,132,64,-999,-999
-79.28802,30.75563,126,82,-999,-999
-79.21097,30.87882,131,79,-999,-999
-81.6093,28.13019,141,178,-999,-999
-79.14732,31.82341,154,58,-999,-999
-79.84538,29.41622,116,123,30,0.5
-80.47304,29.47657,88,133,40,0.5
-79.50826,30.36688,114,93,50,0.5
-79.76678,29.49324,117,120,50,0.5
-79.64124,29.88533,113,108,50,0.5
-79.48525,30.87255,117,78,60,0.5
-89.86192,32.36951,131,321,-999,-999
-89.86961,32.20809,124,318,40,0.5
-90.2693,31.29734,111,290,50,0.5
-89.6148,32.27987,119,324,80,0.5
-89.31205,32.19224,106,329,100,1
-89.85443,32.38243,9,47,20,0.5
-89.85218,32.20717,8,123,40,0.5
-89.63026,32.28999,18,88,70,0.5
-89.2837,32.19439,36,98,100,1
-89.51513,28.09752,135,173,-999,-999
-90.4315,28.17913,133,194,-999,-999
-90.5868,27.61032,168,194,-999,-999
-90.99305,27.29719,192,199,-999,-999
-90.70827,28.18273,137,200,-999,-999
-89.86653,32.35791,121,359,20,0.5
-80.93506,26.68081,87,190,40,0.5
-89.90175,32.20669,112,358,50,0.5
-89.62635,32.26716,116,5,80,0.5
-89.32153,32.1915,114,13,100,1
-80.90549,26.70642,34,272,10,0.5
-88.7714,35.2898,134,280,-999,-999
-88.4857,35.62105,125,290,-999,-999
-88.68671,35.39515,131,283,-999,-999
-87.4378,35.81637,85,309,40,0.5
-88.36608,35.73801,122,294,60,0.5
-100.62285,36.62946,99,32,50,0.5
-101.00587,36.87224,104,19,60,0.5
-102.18685,36.06401,55,335,70,0.5
-100.74735,35.73825,56,57,90,0.5
-99.80171,36.60305,124,48,90,0.5
-101.20891,35.62616,34,46,100,1
-80.58158,22.12947,160,157,-999,-999
-80.89146,26.7131,134,19,-999,-999
-101.21327,35.56909,131,64,-999,-999
-101.46192,39.18661,171,194,-999,-999
-101.35708,39.85507,131,196,-999,-999
-101.13277,39.50907,149,190,-999,-999
-101.423,39.81755,134,197,-999,-999
-101.32708,40.46098,96,201,10,0.5
-101.97332,41.8397,63,264,30,0.5
-101.93268,41.5793,65,250,100,0.75
-86.35484,36.0753,16,69,20,0.5
-100.94191,39.9341,138,341,-999,-999
-100.77831,35.72642,128,198,-999,-999
-101.21175,35.57602,144,205,-999,-999
-102.08958,36.01861,146,225,-999,-999
-101.43598,39.79502,140,331,-999,-999
-101.02968,36.86866,140,274,-999,-999
-100.63306,36.64415,121,268,50,0.5
-100.61663,36.64012,74,205,60,0.5
-101.49392,39.32355,118,323,90,0.5
-99.81969,36.61587,69,174,90,0.5
-100.05438,36.77892,59,184,90,0.5
-101.34422,39.52644,124,329,90,0.5
-99.8222,36.63348,82,266,90,0.5
-101.48004,39.20361,112,321,100,1.25
-89.29283,32.22566,189,171,-999,-999
-87.42667,35.81703,123,76,40,0.5
-88.37359,35.73287,77,72,60,0.5
-88.48428,35.61969,70,76,70,0.5
-88.927,35.70104,51,65,70,0.5
-88.73422,35.29072,56,93,90,0.75
-88.65241,35.4087,60,86,100,0.75
-89.18604,35.9632,50,42,90,1.5
-101.47453,39.1935,147,103,-999,-999
-88.9323,35.7256,172,71,-999,-999
-89.17264,35.96829,166,65,-999,-999
-88.67102,35.40804,180,78,-999,-999
-88.75195,35.29289,175,80,-999,-999
-84.86599,30.5923,98,260,20,0.5
-81.3347,29.78336,109,127,20,0.5
-89.15981,35.97426,131,342,-999,-999
-89.87656,32.20276,128,218,-999,-999
-89.8654,32.38759,119,221,20,0.5
-88.92199,35.70167,112,345,70,0.5
-88.47728,35.62889,104,356,80,0.5
-89.60402,32.28442,116,214,80,0.5
-88.65467,35.40909,92,350,90,0.75
-88.75252,35.28931,86,346,100,0.75
-89.3017,32.19709,113,206,100,1.25
-84.86104,30.60876,55,87,20,0.5
-89.17187,35.95814,128,263,-999,-999
-87.66811,35.80293,60,244,10,0.5
-87.42392,35.82272,49,239,10,0.5
-88.38256,35.72235,94,251,70,0.5
-88.91591,35.70971,119,255,80,0.5
-88.47212,35.63358,100,249,90,0.5
-88.67015,35.38689,115,244,100,0.75
-88.73805,35.27891,121,242,100,1
-88.36104,35.72326,83,166,50,0.5
-89.39694,35.86812,78,203,60,0.5
-88.45966,35.62125,88,170,80,0.5
-88.91999,35.688,83,185,90,0.5
-88.66533,35.40124,100,177,100,0.75
-88.772,35.28212,107,180,100,1
-89.18619,35.96611,69,197,100,1.5
-78.6542,32.63294,82,188,60,0.5
-104.89535,31.23452,100,112,80,0.5
-101.65457,28.97098,180,171,-999,-999
-104.35751,30.88785,128,241,-999,-999
-103.82735,29.81317,153,214,-999,-999
-104.01103,29.74009,162,216,-999,-999
-101.24148,29.03199,181,164,-999,-999
-101.46065,39.19895,135,70,-999,-999
-101.22096,35.59654,120,14,100,0.5
-96.31605,24.79371,90,138,20,0.5
